Table 26,,,,,
Full-time Law Enforcement Employees,,,,,
"by State by City, 2016",,,,,
State,City,Population,"Total law
enforcement
employees","Total 
officers","Total 
civilians"
,Geneseo Village,"8,199",8,8,0
,Geneva,"13,033",35,33,2
,Glen Cove,"27,480",54,50,4
,Glens Falls,"14,212",29,27,2
,Glenville Town,"21,754",24,22,2
,Gloversville,"14,908",30,28,2
,Goshen Town,"8,515",9,9,0
,Goshen Village,"5,384",20,17,3
,Gouverneur Village,"3,769",9,6,3
,Gowanda Village,"2,622",2,2,0
,Granville Village,"2,451",6,6,0
,Great Neck Estates Village,"2,839",15,12,3
,Greece Town,"96,975",105,99,6
,Greenburgh Town,"45,745",140,112,28
,Greene Village,"1,488",1,1,0
,Greenwich Village,"1,738",6,6,0
,Greenwood Lake Village,"3,104",6,5,1
,Groton Village,"2,402",1,1,0
,Guilderland Town,"34,405",48,35,13
,Hamburg Town,"46,028",78,61,17
,Hamburg Village,"9,608",14,13,1
,Hamilton Village,"4,166",5,5,0
,Hancock Village,966,2,2,0
,Harriman Village,"2,486",7,7,0
,Harrison Town,"28,518",74,63,11
,Hastings-on-Hudson Village,"8,044",21,21,0
,Haverstraw Town,"37,756",69,64,5
,Hempstead Village,"55,870",140,118,22
,Herkimer Village,"7,478",19,19,0
,Highland Falls Village,"3,829",9,7,2
,Holley Village,"1,721",2,2,0
,Hoosick Falls Village,"3,419",1,1,0
,Hornell,"8,289",23,22,1
,Horseheads Village,"6,653",10,10,0
,Hudson,"6,381",29,25,4
,Hudson Falls Village,"7,170",14,14,0
,Hunter Town,"2,634",3,3,0
,Huntington Bay Village,"1,431",4,4,0
,Ilion Village,"7,877",20,18,2
,Inlet Town,322,3,2,1
,Interlaken Village,627,1,1,0
,Irondequoit Town,"50,874",60,49,11
,Irvington Village,"6,643",23,22,1
,Ithaca,"30,937",74,66,8
,Jamestown,"29,879",68,59,9
,Johnson City Village,"14,699",38,33,5
,Johnstown,"8,282",23,21,2
,Kenmore Village,"15,110",25,25,0
,Kensington Village,"1,189",6,6,0
,Kent Town,"13,274",25,20,5
,Kingston,"23,360",76,71,5
,Kirkland Town,"8,279",5,5,0
,Lake Placid Village,"2,453",15,12,3
,Lake Success Village,"3,072",25,22,3
,Lakewood-Busti,"4,509",13,12,1
,Lancaster Town,"37,418",64,49,15
,Larchmont Village,"6,186",28,25,3
,Le Roy Village,"4,269",7,7,0
,Lewisboro Town,"12,862",3,3,0
,Lewiston Town and Village,"16,009",11,10,1
,Liberty Village,"4,090",16,14,2
,Little Falls,"4,757",11,10,1
,Liverpool Village,"2,284",5,5,0
,Lloyd Harbor Village,"3,695",13,12,1
,Lloyd Town,"10,568",13,10,3
,Long Beach,"33,591",85,68,17
,Lowville Village,"3,406",6,6,0
,Lynbrook Village,"19,579",58,50,8
,Macedon Town and Village,"8,911",6,5,1
,Malone Village,"5,726",13,13,0
,Malverne Village,"8,579",23,23,0
,Mamaroneck Town,"12,292",39,38,1
,Mamaroneck Village,"19,460",56,50,6
,Marlborough Town,"8,682",10,8,2
,Massena Village,"10,571",24,19,5
,Maybrook Village,"3,356",4,4,0
,Mechanicville,"5,160",12,10,2
,Medina Village,"5,781",12,11,1
,Menands Village,"4,000",14,11,3
,Middleport Village,"1,778",4,4,0
,Middletown,"27,752",75,64,11
,Mohawk Village,"2,611",4,4,0
,Monroe Village,"8,680",21,17,4
,Montgomery Village,"4,782",4,4,0
,Monticello Village,"6,438",25,23,2
,Moriah Town,"3,585",2,2,0
,Mount Hope Town,"6,899",4,4,0
,Mount Morris Village,"2,883",5,5,0
,Mount Pleasant Town,"26,903",47,41,6
,Mount Vernon,"68,881",261,192,69
,Newark Village,"8,786",18,17,1
,New Berlin Town,"1,548",2,2,0
,Newburgh,"28,171",99,86,13
,Newburgh Town,"30,933",56,46,10
,New Castle Town,"18,167",38,36,2
,New Hartford Town and Village,"20,441",24,20,4
,New Paltz Town and Village,"14,214",25,21,4
,New Rochelle,"80,389",211,152,59
,New Windsor Town,"26,835",48,38,10
,New York,"8,566,917","51,399","36,228","15,171"
,New York Mills Village,"3,303",4,4,0
,Niagara Falls,"48,675",178,157,21
,Niagara Town,"8,080",6,5,1
,Niskayuna Town,"22,171",29,27,2
,Nissequogue Village,"1,762",2,2,0
,North Castle Town,"12,390",34,32,2
,North Greenbush Town,"12,232",19,17,2
,Northport Village,"7,387",21,17,4
,North Syracuse Village,"6,861",11,10,1
,North Tonawanda,"30,634",51,47,4
,Norwich,"6,929",20,20,0
,Ocean Beach Village,81,4,4,0
,Ogdensburg,"10,840",30,25,5
,Ogden Town,"20,257",15,12,3
,Old Brookville Village,"2,230",33,25,8
,Old Westbury Village,"4,678",31,26,5
,Olean,"13,765",40,34,6
,Olive Town,"4,331",1,1,0
,Oneonta City,"13,857",28,23,5
,Orangetown Town,"37,962",86,82,4
,Orchard Park Town,"29,721",39,31,8
,Oswego City,"17,717",54,47,7
,Owego Village,"3,705",7,6,1
,Oyster Bay Cove Village,"4,313",14,14,0
,Palmyra Village,"3,390",6,5,1
,Peekskill,"24,129",64,54,10
,Pelham Manor Village,"5,614",22,21,1
,Pelham Village,"7,074",28,25,3
,Penn Yan Village,"4,988",13,12,1
,Perry Village,"3,487",3,3,0
,Piermont Village,"2,585",8,8,0
,Plattsburgh City,"19,765",58,51,7
,Pleasantville Village,"7,205",22,22,0
,Port Chester Village,"29,750",63,61,2
,Port Dickinson Village,"1,585",5,4,1
,Port Jervis,"8,565",31,30,1
,Port Washington,"19,272",63,55,8
,Potsdam Village,"9,744",16,13,3
,Poughkeepsie,"30,262",125,91,34
,Poughkeepsie Town,"39,222",91,80,11
,Pound Ridge Town,"5,275",2,1,1
,Pulaski Village,"2,299",1,1,0
,Quogue Village,995,14,13,1
,Ramapo Town,"92,620",117,95,22
,Rensselaer City,"9,441",33,27,6
,Riverhead Town,"33,818",103,85,18
,Rochester,"209,643",864,747,117
,Rockville Centre Village,"24,229",64,55,9
,Rome,"32,345",76,74,2
,Rosendale Town,"5,927",2,1,1
,Rotterdam Town,"29,352",43,40,3
,Rouses Point Village,"2,161",1,1,0
,Rye,"16,108",41,36,5
,Rye Brook Village,"9,658",27,26,1
,Sag Harbor Village,"2,305",15,13,2
,Salamanca,"5,545",17,17,0
,Sands Point Village,"2,767",20,20,0
,Saranac Lake Village,"5,248",12,12,0
,Saratoga Springs,"28,005",86,73,13
,Saugerties Town,"19,128",28,24,4
,Scarsdale Village,"18,026",49,44,5
,Schenectady,"65,138",171,146,25
,Schodack Town,"11,730",11,10,1
,Scotia Village,"7,725",14,13,1
,Seneca Falls Town,"8,808",19,17,2
,Shandaken Town,"2,986",4,4,0
,Shawangunk Town,"14,098",4,4,0
,Shelter Island Town,"2,423",11,9,2
,Sherrill,"3,066",3,3,0
,Sidney Village,"3,729",8,7,1
,Skaneateles Village,"2,479",1,1,0
,Sodus Village,"1,743",1,1,0
,Solvay Village,"6,394",15,14,1
,Southampton Town,"51,191",126,94,32
,Southampton Village,"3,296",44,30,14
,South Glens Falls Village,"3,593",6,6,0
,South Nyack Village,"3,539",6,6,0
,Southold Town,"20,114",74,52,22
,Spring Valley Village,"32,844",58,51,7
,St. Johnsville Village,"1,687",1,1,0
,Stony Point Town,"15,599",26,25,1
,Suffern Village,"11,053",24,20,4
,Syracuse,"143,925",484,415,69
,Tonawanda,"14,864",33,27,6
,Tonawanda Town,"57,698",151,103,48
,Troy,"49,876",139,126,13
,Tuckahoe Village,"6,673",26,23,3
,Tupper Lake Village,"3,560",9,9,0
,Tuxedo Park Village,605,5,4,1
,Ulster Town,"12,264",26,23,3
,Utica,"60,879",180,163,17
,Vestal Town,"28,253",37,34,3
,Walden Village,"6,810",16,13,3
,Wallkill Town,"28,540",40,39,1
,Walton Village,"2,901",5,5,0
,Warsaw Village,"3,357",5,5,0
,Warwick Town,"18,345",36,31,5
,Washingtonville Village,"5,765",16,14,2
,Waterford Town and Village,"8,439",11,8,3
,Waterloo Village,"5,012",8,7,1
,Watertown,"26,765",68,65,3
,Watervliet,"10,208",24,24,0
,Watkins Glen Village,"1,860",3,3,0
,Waverly Village,"4,231",11,10,1
,Wayland Village,"1,804",1,1,0
,Webb Town,"1,817",5,5,0
,Webster Town and Village,"44,487",36,32,4
,Wellsville Village,"4,506",11,10,1
,Westfield Village,"3,066",5,5,0
,Westhampton Beach Village,"1,790",18,15,3
,West Seneca Town,"45,752",81,68,13
,Whitehall Village,"2,574",3,3,0
,White Plains,"58,767",201,191,10
,Whitesboro Village,"3,680",5,5,0
,Whitestown Town,"9,275",6,6,0
,Windham Town,"1,674",2,2,0
,Woodbury Town,"10,917",20,16,4
,Woodstock Town,"5,865",10,10,0
,Yonkers,"202,075",696,613,83
,Yorktown Town,"37,287",63,54,9
,Yorkville Village,"2,625",3,3,0
NORTH CAROLINA,Aberdeen,"7,549",30,28,2
,Ahoskie,"4,883",18,14,4
,Albemarle,"16,024",56,48,8
,Andrews,"1,746",6,5,1
,Angier,"5,097",14,14,0
,Apex,"47,324",91,74,17
,Archdale,"11,593",30,24,6
,Asheboro,"26,230",79,71,8
,Asheville,"89,546",263,200,63
,Atlantic Beach,"1,503",17,16,1
,Aurora,522,1,1,0
,Ayden,"5,078",22,18,4
,Badin,"1,983",5,5,0
,Bailey,564,2,2,0
,Bakersville,450,1,1,0
,Bald Head Island,174,19,18,1
,Banner Elk,"1,163",9,8,1
,Beaufort,"4,244",16,15,1
,Beech Mountain,320,14,10,4
,Belhaven,"1,586",11,8,3
,Belmont,"10,593",39,30,9
,Benson,"3,648",14,13,1
,Bessemer City,"5,591",13,12,1
,Bethel,"1,628",5,5,0
,Beulaville,"1,335",3,3,0
,Biltmore Forest,"1,461",14,13,1
,Biscoe,"1,689",9,8,1
,Black Creek,767,2,2,0
,Black Mountain,"8,368",22,18,4
,Bladenboro,"1,721",5,5,0
,Blowing Rock,"1,303",12,11,1
,Boiling Spring Lakes,"5,873",13,12,1
,Boiling Springs,"4,681",8,8,0
,Boone,"18,374",47,35,12
,Boonville,"1,204",5,5,0
,Brevard,"7,747",31,24,7
,Bridgeton,437,1,1,0
,Broadway,"1,271",4,4,0
,Brookford,374,1,1,0
,Bryson City,"1,466",9,8,1
,Bunn,366,3,3,0
,Burgaw,"4,147",13,12,1
,Burlington,"52,760",161,121,40
,Burnsville,"1,653",8,8,0
,Butner,"7,781",39,32,7
,Cameron,297,1,1,0
,Candor,838,3,3,0
,Canton,"4,188",18,13,5
,Cape Carteret,"2,080",8,8,0
,Carolina Beach,"6,223",31,29,2
,Carrboro,"21,478",40,37,3
,Carthage,"2,416",11,10,1
,Cary,"164,835",223,185,38
,Caswell Beach,428,4,4,0
,Chadbourn,"1,782",8,7,1
,Chapel Hill,"60,004",127,104,23
,Charlotte-Mecklenburg1,"896,379","2,302","1,743",559
,Cherryville,"6,018",19,14,5
,China Grove,"4,187",13,13,0
,Chocowinity,821,3,3,0
,Claremont,"1,368",10,9,1
,Clayton,"19,968",46,43,3
,Cleveland,874,5,5,0
,Clinton,"8,789",30,26,4
,Clyde,"1,247",4,4,0
,Coats,"2,467",6,6,0
,Columbus,994,11,10,1
,Concord,"89,446",194,166,28
,Conover,"8,261",29,27,2
,Conway,760,2,2,0
,Cooleemee,974,3,3,0
,Cornelius,"28,756",77,62,15
,Cramerton,"4,361",15,15,0
,Creedmoor,"4,487",19,15,4
,Dallas,"4,656",17,13,4
,Davidson,"12,469",18,17,1
,Dobson,"1,570",7,7,0
,Drexel,"1,864",5,5,0
,Duck,386,10,9,1
,Dunn,"9,804",42,37,5
,Durham,"263,716",679,490,189
,East Bend,597,2,2,0
,East Spencer,"1,552",5,5,0
,Eden,"15,343",49,45,4
,Edenton,"4,822",21,19,2
,Elizabeth City,"17,852",68,56,12
,Elizabethtown,"3,577",18,17,1
,Elkin,"4,067",21,17,4
,Elon,"10,150",17,16,1
,Emerald Isle,"3,731",18,17,1
,Enfield,"2,407",10,9,1
,Erwin,"4,730",10,9,1
,Fair Bluff,912,3,3,0
,Fairmont,"2,703",7,5,2
,Farmville,"4,776",22,18,4
,Fayetteville,"202,200",601,442,159
,Fletcher,"7,660",17,16,1
,Forest City,"7,246",33,31,2
,Four Oaks,"2,075",6,6,0
,Foxfire Village,984,3,3,0
,Franklin,"3,947",18,17,1
,Franklinton,"2,156",8,8,0
,Fremont,"1,284",4,4,0
,Fuquay-Varina,"25,249",44,38,6
,Garner,"28,508",70,62,8
,Garysburg,963,2,2,0
,Gaston,"1,051",3,3,0
,Gastonia,"75,118",192,170,22
,Gibsonville,"6,843",17,16,1
,Glen Alpine,"1,497",3,3,0
,Goldsboro,"35,871",101,89,12
,Graham,"14,712",40,37,3
,Granite Falls,"4,651",17,14,3
,Granite Quarry,"3,002",8,8,0
,Greensboro,"288,618",786,681,105
,Greenville,"91,766",222,178,44
,Grifton,"2,683",6,6,0
,Hamlet,"6,430",23,19,4
,Havelock,"20,283",30,24,6
,Haw River,"2,420",7,7,0
,Henderson,"15,249",54,45,9
,Hendersonville,"13,954",53,41,12
,Hertford,"2,148",9,8,1
,Hickory,"40,437",138,103,35
,Highlands,939,14,13,1
,High Point,"111,435",268,222,46
,Hillsborough,"6,475",28,27,1
,Holden Beach,642,8,8,0
,Holly Ridge,"2,300",11,10,1
,Holly Springs,"32,862",60,49,11
,Hope Mills,"16,268",40,36,4
,Hot Springs,562,1,1,0
,Hudson,"3,710",15,14,1
,Huntersville,"53,932",91,85,6
,Indian Beach,115,5,5,0
,Jackson,475,1,1,0
,Jacksonville,"66,686",143,115,28
,Jefferson,"1,605",4,4,0
,Jonesville,"2,251",11,10,1
,Kannapolis,"46,867",106,79,27
,Kenansville,872,3,3,0
,Kenly,"1,472",8,8,0
,Kernersville,"23,943",87,68,19
,Kill Devil Hills,"7,132",35,29,6
,King,"7,091",23,20,3
,Kings Mountain,"10,785",40,32,8
,Kinston,"21,268",68,59,9
,Kitty Hawk,"3,482",18,16,2
,Knightdale,"14,875",29,27,2
,Kure Beach,"2,106",12,11,1
,Lake Lure,"1,182",10,9,1
,Lake Royale,"2,670",5,5,0
,Lake Waccamaw,"1,464",5,5,0
,Landis,"3,121",10,10,0
,Laurel Park,"2,341",7,7,0
,Laurinburg,"15,423",40,37,3
,Leland,"18,842",31,30,1
,Lenoir,"17,822",60,48,12
,Lexington,"19,407",62,55,7
,Liberty,"2,688",11,10,1
,Lilesville,499,1,1,0
,Lillington,"3,532",13,12,1
,Lincolnton,"10,981",38,33,5
,Littleton,641,3,3,0
,Locust,"2,973",12,12,0
,Long View,"4,901",16,16,0
,Louisburg,"3,582",13,12,1
,Lowell,"3,674",8,8,0
,Lumberton,"21,683",93,83,10
,Madison,"2,187",17,16,1
,Maggie Valley,"1,273",11,10,1
,Magnolia,951,1,1,0
,Maiden,"3,379",15,14,1
,Manteo,"1,401",8,7,1
,Marion,"7,827",27,26,1
,Marshall,876,3,3,0
,Mars Hill,"2,320",5,5,0
,Marshville,"2,684",8,8,0
,Matthews,"31,401",68,55,13
,Maxton,"2,454",13,9,4
,Mayodan,"2,469",14,14,0
,Maysville,"1,003",3,3,0
,Mebane,"14,201",34,30,4
,Micro,493,1,1,0
,Middlesex,812,4,4,0
,Mint Hill,"26,221",34,31,3
,Misenheimer,715,5,5,0
,Mocksville,"5,170",22,21,1
,Monroe,"34,978",95,82,13
,Montreat,723,5,5,0
,Mooresville,"36,482",98,79,19
,Morehead City,"9,477",45,40,5
,Morganton,"16,656",85,60,25
,Morrisville,"24,976",35,34,1
,Mount Airy,"10,345",47,36,11
,Mount Gilead,"1,180",7,7,0
,Mount Holly,"14,284",40,31,9
,Mount Olive,"4,752",21,19,2
,Murfreesboro,"3,038",7,6,1
,Murphy,"1,613",11,9,2
,Nags Head,"2,938",25,23,2
,Nashville,"5,459",16,15,1
,Navassa,"1,668",3,3,0
,New Bern,"30,137",103,81,22
,Newland,684,5,5,0
,Newport,"4,841",9,9,0
,Newton,"13,049",43,36,7
,Newton Grove,577,3,3,0
,Norlina,"1,074",5,5,0
,North Topsail Beach,736,11,10,1
,Northwest,776,2,2,0
,North Wilkesboro,"4,215",25,24,1
,Norwood,"2,397",8,7,1
,Oakboro,"1,877",5,5,0
,Oak Island,"7,651",23,21,2
,Ocean Isle Beach,608,13,12,1
,Old Fort,911,3,3,0
,Oriental,882,1,1,0
,Oxford,"8,794",31,29,2
,Parkton,440,1,1,0
,Pembroke,"3,009",18,14,4
,Pikeville,695,4,4,0
,Pilot Mountain,"1,462",8,7,1
,Pinebluff,"1,467",3,3,0
,Pinehurst,"15,948",30,25,5
,Pine Knoll Shores,"1,368",7,7,0
,Pine Level,"1,893",5,5,0
,Pinetops,"1,308",4,4,0
,Pineville,"8,626",47,36,11
,Pink Hill,538,2,2,0
,Pittsboro,"4,287",11,11,0
,Plymouth,"3,618",15,14,1
,Polkton,"3,526",2,2,0
,Princeton,"1,302",4,4,0
,Raeford,"4,907",18,17,1
,Raleigh,"460,593",875,729,146
,Ramseur,"1,703",6,6,0
,Randleman,"4,160",15,15,0
,Ranlo,"3,581",8,8,0
,Red Springs,"3,434",15,14,1
,Reidsville,"13,991",48,43,5
,Richlands,"1,720",8,8,0
,Rich Square,891,1,1,0
,River Bend,"3,153",6,6,0
,Roanoke Rapids,"15,273",43,39,4
,Robbins,"1,195",3,3,0
,Robersonville,"1,412",8,8,0
,Rockingham,"9,155",39,34,5
,Rockwell,"2,148",6,6,0
,Rocky Mount,"55,431",202,160,42
,Rolesville,"6,962",20,19,1
,Rose Hill,"1,672",5,5,0
,Rowland,"1,052",7,6,1
,Roxboro,"8,331",35,31,4
,Rutherfordton,"4,173",15,14,1
,Salisbury,"34,121",76,69,7
,Saluda,705,4,4,0
,Sanford,"29,347",105,82,23
,Scotland Neck,"1,948",7,6,1
,Seagrove,229,1,1,0
,Selma,"6,351",26,24,2
,Seven Devils,201,6,6,0
,Shallotte,"4,066",14,13,1
,Sharpsburg,"1,999",8,8,0
,Shelby,"20,168",85,72,13
,Siler City,"8,498",24,19,5
,Smithfield,"12,235",40,37,3
,Snow Hill,"1,570",6,6,0
,Southern Pines,"13,778",44,35,9
,Southern Shores,"2,897",13,12,1
,Southport,"3,617",11,11,0
,Sparta,"1,718",6,6,0
,Spencer,"3,296",14,13,1
,Spindale,"4,252",10,10,0
,Spring Hope,"1,311",6,6,0
,Spring Lake,"13,490",37,34,3
,Spruce Pine,"2,131",11,11,0
,Stallings,"15,569",26,21,5
,Stanfield,"1,491",5,4,1
,Stanley,"3,712",12,11,1
,Stantonsburg,789,4,4,0
,Star,874,4,4,0
,Statesville,"26,557",92,72,20
,Stoneville,"1,034",4,4,0
,St. Pauls,"2,422",18,13,5
,Sugar Mountain,197,5,5,0
,Sunset Beach,"3,847",13,13,0
,Surf City,"2,256",20,19,1
,Swansboro,"3,250",11,10,1
,Sylva,"2,623",14,14,0
,Tabor City,"3,910",11,10,1
,Tarboro,"11,113",33,27,6
,Taylorsville,"2,078",11,11,0
,Taylortown,825,3,3,0
,Thomasville,"27,117",72,66,6
,Topsail Beach,424,9,8,1
,Trent Woods,"4,192",6,6,0
,Troutman,"2,576",14,14,0
,Troy,"3,411",12,11,1
,Tryon,"1,631",10,8,2
,Valdese,"4,455",13,12,1
,Vanceboro,998,2,2,0
,Vass,756,4,4,0
,Wadesboro,"5,541",26,20,6
,Wagram,801,1,1,0
,Wake Forest,"39,996",83,68,15
,Wallace,"3,979",19,15,4
,Walnut Creek,866,2,2,0
,Warrenton,861,6,5,1
,Warsaw,"3,191",16,14,2
,Washington,"9,796",39,29,10
,Waxhaw,"14,367",26,24,2
,Waynesville,"9,801",42,34,8
,Weaverville,"3,988",15,14,1
,Weldon,"1,574",14,13,1
,Wendell,"6,368",17,16,1
,West Jefferson,"1,309",8,8,0
,Whispering Pines,"3,187",9,8,1
,Whitakers,721,2,2,0
,White Lake,778,6,6,0
,Whiteville,"5,635",24,22,2
,Wilkesboro,"3,527",23,21,2
,Williamston,"5,467",22,21,1
,Wilmington,"117,852",331,260,71
,Wilson,"49,734",124,109,15
,Wilson's Mills,"2,527",5,5,0
,Windsor,"3,819",9,9,0
,Winfall,600,1,1,0
,Wingate,"3,930",7,7,0
,Winston-Salem,"243,507",699,536,163
,Winterville,"9,502",18,17,1
,Woodfin,"6,411",14,14,0
,Woodland,733,1,1,0
,Wrightsville Beach,"2,581",25,23,2
,Yadkinville,"2,918",14,13,1
,Youngsville,"1,228",11,10,1
,Zebulon,"5,074",19,18,1
NORTH DAKOTA,Arnegard,129,2,2,0
,Belfield,"1,115",3,2,1
,Berthold,510,1,1,0
,Beulah,"3,450",7,6,1
,Bismarck,"73,248",145,115,30
,Bowman,"1,764",4,4,0
,Burlington,"1,208",2,2,0
,Carrington,"2,073",5,5,0
,Cavalier,"1,233",4,4,0
,Devils Lake,"7,394",18,16,2
,Dickinson,"25,130",55,36,19
,Ellendale,"1,281",2,2,0
,Emerado,434,1,1,0
,Fargo,"121,217",183,160,23
,Fessenden,471,1,1,0
,Grafton,"4,237",10,9,1
,Grand Forks,"57,853",99,84,15
,Harvey,"1,779",4,4,0
,Hazen,"2,504",4,4,0
,Hillsboro,"1,576",2,2,0
,Jamestown,"15,417",36,31,5
,Kenmare,"1,080",3,3,0
,Killdeer,"1,392",5,5,0
,Kulm,342,1,1,0
,Lamoure,920,5,4,1
,Lincoln,"3,776",4,4,0
,Lisbon,"2,146",3,3,0
,Mandan,"22,011",42,35,7
,Medora,138,3,3,0
,Minot,"51,265",108,81,27
,Napoleon,785,2,2,0
,New Town,"2,656",7,6,1
,Northwood,924,2,2,0
,Oakes,"1,786",2,2,0
,Powers Lake,313,2,2,0
,Rolla,"1,333",4,4,0
,Rugby,"2,841",4,4,0
,Sherwood,253,1,1,0
,South Heart,459,3,3,0
,Stanley,"3,079",5,5,0
,Steele,707,1,1,0
,Surrey,"1,462",4,4,0
,Thompson,"1,009",1,1,0
,Tioga,"1,738",8,6,2
,Valley City,"6,680",13,12,1
,Wahpeton,"7,927",16,14,2
,Watford City,"8,819",20,17,3
,West Fargo,"35,389",61,51,10
,Williston,"29,929",69,50,19
,Wishek,986,2,2,0
OHIO,Ada,"5,782",9,8,1
,Akron,"197,257",484,449,35
,Alliance,"22,012",52,40,12
,American Township,"12,254",1,1,0
,Amherst,"12,156",26,20,6
,Aurora,"15,897",36,28,8
,Barberton,"26,172",44,42,2
,"Bath Township, Summit County","9,896",25,19,6
,Bay Village,"15,346",27,23,4
,Beavercreek,"46,490",61,47,14
,Beaver Township,"6,492",14,11,3
,Bedford,"12,678",36,31,5
,Bellefontaine,"13,073",36,29,7
,Bellville,"1,863",4,4,0
,Belpre,"6,484",16,11,5
,Bexley,"13,775",36,30,6
,Blanchester,"4,249",7,7,0
,Blue Ash,"12,169",41,34,7
,Bluffton,"4,127",7,7,0
,Bowling Green,"31,404",52,37,15
,Brecksville,"13,390",38,30,8
,Brooklyn,"10,841",37,32,5
,Brookville,"5,902",12,11,1
,Brunswick,"34,774",53,40,13
,Butler Township,"7,856",14,14,0
,Cambridge,"10,341",27,22,5
,Canal Fulton,"5,489",11,10,1
,Canfield,"7,323",22,15,7
,Carey,"3,570",12,8,4
,Catawba Island Township,"3,539",4,4,0
,Celina,"10,383",21,16,5
,Centerville,"23,853",54,40,14
,Chagrin Falls,"4,003",12,11,1
,Chester Township,"10,371",12,12,0
,Cincinnati,"298,880","1,292","1,051",241
,Circleville,"13,930",27,21,6
,Clearcreek Township,"15,322",15,14,1
,Cleveland,"386,227","1,678","1,444",234
,Cleveland Heights,"44,696",104,95,9
,Clyde,"6,233",22,18,4
,Coitsville Township,"1,344",2,2,0
,Coldwater,"4,501",9,8,1
,Columbiana,"6,269",15,11,4
,Conneaut,"12,689",24,17,7
,Copley Township,"17,653",23,21,2
,Cortland,"6,894",9,9,0
,Defiance,"16,697",32,29,3
,Delaware,"38,658",59,52,7
,Delhi Township,"29,573",32,30,2
,Dublin,"45,860",91,63,28
,East Cleveland,"17,240",31,26,5
,Eastlake,"18,166",32,23,9
,Elyria,"53,633",94,79,15
,Englewood,"13,455",27,20,7
,Euclid,"47,416",98,92,6
,Evendale,"2,766",22,19,3
,Fairborn,"33,587",59,45,14
,Fairfield,"42,810",79,61,18
,Fairfield Township,"22,417",19,19,0
,Fairport Harbor,"3,093",6,5,1
,Findlay,"41,156",82,64,18
,Forest Park,"18,669",42,36,6
,Fort Recovery,"1,430",2,2,0
,Fostoria,"13,119",27,21,6
,Gahanna,"34,859",68,53,15
,Genoa Township,"26,415",26,24,2
,Georgetown,"4,436",7,7,0
,Germantown,"5,495",12,11,1
,"German Township, Montgomery County","2,893",4,4,0
,Glenwillow,926,4,4,0
,Grandview Heights,"7,502",22,17,5
,Gratis,855,2,2,0
,Grove City,"40,161",78,61,17
,Groveport,"5,813",24,23,1
,Hamilton,"62,423",120,111,9
,"Hamilton Township, Warren County","22,670",18,16,2
,Harrison,"10,819",24,21,3
,Heath,"10,528",25,18,7
,Highland Heights,"8,402",30,23,7
,Hinckley Township,"8,041",10,9,1
,Hiram,"1,238",2,2,0
,Holland,"1,698",9,9,0
,Independence,"7,132",44,31,13
,Indian Hill,"5,801",25,20,5
,Jamestown,"2,034",4,4,0
,Kalida,"1,566",1,1,0
,Kent,"29,995",56,42,14
,Kettering,"55,384",99,73,26
,Lakewood,"50,349",122,100,22
,Lancaster,"39,959",84,67,17
,Lebanon,"20,726",36,26,10
,Lexington,"4,715",13,9,4
,Lima,"37,715",102,84,18
,Lithopolis,"1,401",3,3,0
,Lordstown,"3,278",13,9,4
,Louisville,"9,115",12,11,1
,Lyndhurst,"13,624",35,27,8
,Madison,"3,182",5,4,1
,Mansfield,"46,656",116,82,34
,Mariemont,"3,431",11,10,1
,Marysville,"22,952",43,36,7
,Mason,"33,026",51,46,5
,Maumee,"13,875",56,42,14
,Mechanicsburg,"1,591",5,5,0
,Medina,"26,280",46,36,10
,Mentor,"46,852",110,81,29
,Mentor-on-the-Lake,"7,375",13,8,5
,Miamisburg,"20,000",37,34,3
,"Miami Township, Montgomery County","29,140",45,38,7
,Middlefield,"2,694",11,10,1
,Middletown,"48,768",103,68,35
,Milan,"1,343",3,3,0
,Milford,"6,910",19,17,2
,Milton Township,"2,470",5,5,0
,Minerva,"3,670",13,9,4
,Minerva Park,"1,327",7,6,1
,Mingo Junction,"3,299",4,4,0
,Montgomery,"10,558",22,20,2
,Moreland Hills,"3,303",16,15,1
,Mount Vernon,"16,685",33,30,3
,Napoleon,"8,566",19,14,5
,New Albany,"10,340",26,19,7
,New Bremen,"2,961",7,7,0
,Newcomerstown,"3,789",8,5,3
,New Franklin,"14,285",19,13,6
,New London,"2,366",5,5,0
,Newton Falls,"4,628",3,3,0
,Niles,"18,538",37,32,5
,North Canton,"17,435",29,22,7
,North Ridgeville,"33,095",47,38,9
,Northwood,"5,376",23,18,5
,Norton,"12,026",16,15,1
,Norwalk,"16,792",29,23,6
,Oberlin,"8,342",25,18,7
,Olmsted Falls,"8,859",10,10,0
,Oregon,"20,055",58,45,13
,Ottawa,"4,385",8,8,0
,Perkins Township,"11,844",23,22,1
,Perrysburg Township,"12,813",29,23,6
,Pierce Township,"11,559",16,15,1
,Plain City,"4,318",8,8,0
,Port Clinton,"5,939",18,13,5
,Powell,"13,273",21,19,2
,Reynoldsburg,"37,406",71,53,18
,Richfield,"3,713",24,17,7
,Richmond Heights,"10,445",25,19,6
,Rittman,"6,598",11,8,3
,Rossford,"6,547",16,15,1
,Russell Township,"5,250",10,9,1
,Russellville,539,3,3,0
,Sabina,"2,530",5,5,0
,Salem,"11,943",21,21,0
,Sandusky,"25,078",49,47,2
,Sebring,"4,240",9,5,4
,Seven Hills,"11,661",17,16,1
,Shaker Heights,"27,478",82,60,22
